id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
814,2022-03-24 00:00:00,199.5833333333,,202.69
815,2022-03-25 00:00:00,201.1666666667,,198.35
816,2022-03-26 00:00:00,201.1666666667,,210.43
817,2022-03-27 00:00:00,131.7083333333,,166.425
818,2022-03-28 00:00:00,200.6666666667,,192.785
819,2022-03-29 00:00:00,130.7916666667,,120.185
820,2022-03-30 00:00:00,114.3333333333,,137.615
821,2022-03-31 00:00:00,111.75,,27.67
822,2022-04-01 00:00:00,85.25,,22.315
823,2022-04-02 00:00:00,150.7083333333,,119.705
824,2022-04-03 00:00:00,158.6666666667,,185.11
825,2022-04-04 00:00:00,45.9166666667,,77.265
826,2022-04-05 00:00:00,73.2083333333,,50.195
827,2022-04-06 00:00:00,62.625,,56.935
828,2022-04-07 00:00:00,173.0416666667,,146.41
829,2022-04-08 00:00:00,104.7083333333,,59.305
830,2022-04-09 00:00:00,219.9583333333,,171.465
831,2022-04-10 00:00:00,173.5416666667,,181.7
832,2022-04-11 00:00:00,218.8333333333,,246.03
833,2022-04-12 00:00:00,208.9583333333,,204.49
834,2022-04-13 00:00:00,101.0416666667,,174.34
835,2022-04-14 00:00:00,203.4583333333,,176.825
836,2022-04-15 00:00:00,210.0416666667,,230.23
837,2022-04-16 00:00:00,251.125,,273.165
838,2022-04-17 00:00:00,266.6666666667,,282.895
839,2022-04-18 00:00:00,253.5833333333,151.2425,263.16
840,2022-04-19 00:00:00,222.4166666667,320.0968965517,241.615
841,2022-04-20 00:00:00,230.125,326.9254285714,274.895
842,2022-04-21 00:00:00,258.75,223.6378947368,270.01
843,2022-04-22 00:00:00,164.2916666667,175.1733333333,184.95
844,2022-04-23 00:00:00,239.3333333333,235.1109090909,188.555
845,2022-04-24 00:00:00,222.4583333333,286.6753125,244.985
846,2022-04-25 00:00:00,168.3333333333,71.4476470588,164.15
847,2022-04-26 00:00:00,175.2083333333,,117.85
848,2022-04-27 00:00:00,238.75,,266.5
849,2022-04-28 00:00:00,280.2083333333,,280.085
850,2022-04-29 00:00:00,137.5416666667,,115.805
851,2022-04-30 00:00:00,156.875,,224.695
852,2022-05-01 00:00:00,196.9583333333,,180.04
853,2022-05-02 00:00:00,233.25,,259.79
854,2022-05-03 00:00:00,177.1666666667,,279.32
855,2022-05-04 00:00:00,231.3333333333,,274.44
856,2022-05-05 00:00:00,188.0833333333,,153.4
857,2022-05-06 00:00:00,240.1666666667,,255.225
858,2022-05-07 00:00:00,218.8333333333,,214.52
859,2022-05-08 00:00:00,288.9166666667,,245.96
860,2022-05-09 00:00:00,294.7083333333,,291.365
861,2022-05-10 00:00:00,158.125,,210.465
862,2022-05-11 00:00:00,253.875,,307.11
863,2022-05-12 00:00:00,213.4166666667,,269.97
864,2022-05-13 00:00:00,220.0833333333,,290.21
865,2022-05-14 00:00:00,308.3333333333,,312.805
866,2022-05-15 00:00:00,286.3333333333,,295.28
867,2022-05-16 00:00:00,205.9583333333,,164.465
868,2022-05-17 00:00:00,252.8333333333,,175.56
869,2022-05-18 00:00:00,283.2083333333,,270.865
870,2022-05-19 00:00:00,179.8333333333,,219.89
871,2022-05-20 00:00:00,142.0416666667,,140.665
